Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure
999-ACC000053-E, 35758, 14049, 629, 366, 20714, 20714, 0, true, 0, 1553
999-ACC000142-E, 4540, 4062, 199, 279, 495, 0, 495, true, 0, 33
999-ACC000230-E, 1700, 1140, 48, 458, 553, 54, 499, true, 0, 32
999-ACC000232-E, 103909, 45846, 851, 0, 57212, 57212, 0, true, 0, 1762
999-ACC000366-E, 800, 456, 20, 25, 299, 299, 0, true, 0, 32
999-ACC316027-E, 2028, 1026, 51, 162, 789, 789, 0, true, 0, 1580
999-ADC000001-E, 3310, 2582, 0, 142, 586, 586, 0, true, 0, 1618
999-AHCA16001-E, 7033, 3880, 0, 176, 2977, 2977, 0, true, 0, 1628
999-AXC000071-E, 211, 114, 0, 0, 97, 97, 0, true, 0, null
999-AYC000184-E, 4430, 1368, 94, 143, 2825, 2825, 0, true, 0, 1751
999-AYC000207-E, 10163, 4868, 410, 35, 4850, 4850, 0, true, 0, 102
999-AYC000217-E, 10780, 2896, 162, 1381, 6341, 6341, 0, true, 0, 1580
999-AYC000477-E, 200, 114, 15, 0, 71, 71, 0, true, 0, null
999-BEC000236-E, 595, 244, 0, 33, 318, 318, 0, true, 0, 1769
999-BRC000082-E, 168, 114, 0, 5, 49, 49, 0, true, 0, 173
999-CAC000004-E, 3275, 2007, 0, 14, 1254, 1254, 0, true, 0, 1681
999-CAC001281-E, 278, 114, 0, 0, 164, 164, 0, true, 0, 1298
999-CAC001283-E, 630, 456, 0, 0, 174, 174, 0, true, 0, 1137
999-CBC000046-E, 2471, 1738, 0, 733, 1038, 0, 1038, true, 0, 1523
999-CECCAC019-M, 3000, 2166, 0, 98, 736, 736, 0, true, 0, 22
999-CIC000040-E, 1940, 1482, 345, 0, 113, 113, 0, true, 0, 1249
999-CJC000002-M, 157, 114, 0, 1, 42, 42, 0, true, 0, 31
999-CJC000003-M, 157, 114, 0, 43, 44, 0, 44, true, 0, 31
999-CKC000029-E, 180, 134, 1, 0, 45, 45, 0, true, 0, null
999-CKC000138-E, 162, 114, 0, 1, 47, 47, 0, true, 0, 34
999-CLC000054-E, 2700, 806, 0, 92, 1802, 1802, 0, true, 0, 1736
160-CDC000049-M, 275, 199, 0, 0, 76, 76, 0, true, 0, 1386
999-BVC000001-E, 1609, 413, 0, 24, 1172, 1172, 0, true, 0, 19
999-CAC000006-E, 3400, 1494, 0, 10, 1896, 1896, 0, true, 0, 22
999-CAC000667-E, 157, 114, 0, 1, 42, 42, 0, true, 0, 34
102-PCCPSU003-E, 416, 380, 0, 30, 6, 6, 0, true, 0, 157
115-PCC000013-E, 156, 85, 0, 71, 72, 0, 72, true, 0, 1593
130-PCC000053-E, 155, 84, 0, 1, 70, 70, 0, true, 0, 1594
141-PCC000001-E, 528, 110, 0, 0, 418, 418, 0, true, 0, 1216
141-PCC000011-E, 979, 574, 0, 1, 404, 404, 0, true, 0, 1593
401-PCC000007-E, 109, 85, 0, 0, 24, 24, 0, true, 0, 1522
998-CPC000599-M, 460, 457, 0, 0, 3, 3, 0, true, 0, 1921
160-CDC000068-M, 881, 684, 0, 0, 197, 197, 0, true, 0, 1280
998-CECSPP012-M, 90, 80, 0, 0, 10, 10, 0, true, 0, null
998-CECSPP013-M, 90, 80, 1, 0, 9, 9, 0, true, 0, null
998-CFC000001-M, 380, 380, 0, 0, 0, 0, 0, true, 0, 1594
