Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure,,Scrap+Balance-Unnacc,
999-AYC000046-E,4518,4121,397,0,0,0,0, true,0,32,,,
999-AYC000054-E,2632,2378,254,0,0,0,0, true,0,119,,,
999-AYC000064-E,8034,3988,3703,0,343,343,0, true,0,283,,,
999-AYC000108-E,5121,3595,646,0,880,880,0, true,0,32,,,
999-AYC000225-E,3449,2993,148,308,514,0,514, true,0,1447,,-58,
999-AYC000254-E,1900,1718,182,0,0,0,0, true,0,1559,,,
999-AYC000293-E,2400,2338,62,0,0,0,0, true,0,1618,,,
999-AYC000296-E,6610,5916,694,0,0,0,0, true,0,30,,,
999-AYC000318-E,5167,4500,392,0,275,275,0, true,0,1579,,,
999-AYC000367-E,3130,2687,120,323,246,0,246, true,0,33,,197,77
999-AYC000557-E,1800,1718,69,0,13,13,0, true,0,1447,,,
999-AYC395268-E,10581,7666,343,2572,2432,0,2432, true,0,152,,483,140
999-AYC395269-E,12868,7836,409,4623,4638,0,4638, true,0,293,,394,-15
999-AYC395512-E,2050,1485,400,0,165,165,0, true,0,31,,,
999-AYC395535-E,5617,2719,485,0,2413,2413,0, true,0,1494,,,
999-BAC000004-E,1502,1309,4,0,189,189,0, true,0,152,,,
999-CAC000178-E,1500,1479,0,0,21,21,0, true,0,1799,,,
999-CAC000941-E,865,859,6,0,0,0,0, true,0,33,,,
999-CAC001038-E,864,859,0,0,5,5,0, true,0,1447,,,
999-CAC001244-E,931,859,9,0,63,63,0, true,0,1238,,,
999-CECNSS002-M,2832,2603,14,0,215,215,0, true,0,1907,,,
999-CECSMX008-M,8704,8590,114,0,0,0,0, true,0,161,,,
999-CECSMX022-M,1742,1718,2,0,22,22,0, true,0,1907,,,
999-CECSPX008-M,6343,5763,580,0,0,0,0, true,0,22,,,
999-CECWPS005-M,6043,3622,0,2421,868,0,868, true,0,293,,1553,1553
999-CLC000111-E,2098,2084,14,0,0,0,0, true,0,1799,,,
999-CLC000221-E,5510,5464,46,0,0,0,0, true,0,1762,,,
998-CPC000066-M,4248,3857,1,0,390,390,0, true,0,1907,,,
998-CPC000205-M,4001,3777,224,0,0,0,0, true,0,1386,,,
998-CPC000600-M,468,457,8,0,3,3,0, true,0,1907,,,
998-CPC000601-M,457,457,0,0,0,0,0, true,0,1907,,,
999-ACC000135-E,1950,1718,86,146,173,0,173, true,0,292,,59,-27
999-ADC000038-E,980,859,0,121,167,0,167, true,0,293,,-46,
999-AJC000040-E,866,859,4,0,3,3,0, true,0,34,,,
999-AOC000094-E,904,859,14,0,31,31,0, true,0,1550,,,
999-AXC000106-E,9382,9210,51,0,121,121,0, true,0,22,,,
999-AXCOP0096-E,2252,2159,38,55,72,0,72, true,0,34,,21,-17
999-AYC000464-E,3500,2887,244,0,369,369,0, true,0,32,,,
999-AYC000556-E,989,859,42,88,127,0,127, true,0,31,,3,-39
999-BOC000007-E,1540,1357,39,0,144,144,0, true,0,1529,,,
999-BRC000050-E,1490,1479,7,0,4,4,0, true,0,1751,,,
999-CAC000554-E,884,859,5,0,20,20,0, true,0,1736,,,
999-CLC000185-E,1050,1034,16,0,0,0,0, true,0,1356,,,
999-CLC000207-E,1563,1479,24,0,60,60,0, true,0,30,,,
999-CLC000293-E,1534,1479,0,55,116,0,116, true,0,28,,-61,
