TPN,Description,115-PCA000007-E   F16S,115-PCA000037-E   PSM02,103-PCA000027-E   PSU,104-PCA000001-E     AC-DC,115-PCA000039-E    A162,115-PCA000084-E   ELAN01,130-PCA000207-E   ELAN04,140-SKU000004-P,141-PCA000002-E    ST63,141-PCA000024-E    ELAN10,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,170-PCA000256-E    OFA,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,130-PCA000207-E   ELAN04,104-PCA000001-E     APASU03,104-PCA000002-E  DPSU03,104-PCA000003-E  P02FP,104-PCA000004-E CP8E,170-PCA000002-E   FTU,170-PCA000002-E   FTU,170-PCA000084-E    PFU3,170-PCA000003-E    OAM,160-PCA000049-L,130-PCA000207-E   ELAN04,115-PCA000084-E   ELAN01,104-PCA000025-E,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,104-PCA000002-E  DPSU03,115-PCA000037-E   PSM02,104-PCA000003-E  P02FP,001-PCA000062-E  BBT2,130-PCA000205-E DPU12,103-PCA000027-E PSU,103-PCA000036-E LTC8,115-PCA000039-E A162,170-PCA000256-E OFA,141-PCA000002-E ST63
999-ARC000009-E,Inductor 2.2 uH 20% 24.3 Current Rating 2.3 MilliOhms SMD HC2 FIXED POWER,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
999-ARC000011-E,Inductor 1.4uH 10A 12.3mmx12.3mmx8mm SMD,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,
999-AXC000001-E,Transistor 140V 3.5A SOT223 PNP,,,,,,2,,1,,,,1,,,1,,,,,,,,,,1,,,2,,,1,,,,,,,,1,,,
999-AXC000002-E,Transistor 140V 0.6A SOT23 NPN,,,2,,,,,,,,,2,,,2,,,,,,,,,,2,,,,,,2,,,,,,,2,2,,,
999-AXC000003-E,Transistor 150V 0.6A SOT23 PNP,,1,,1,,,,4,,,,4,,,4,,,1,,,,,,,4,,,,2,,4,,,1,,,,,6,,,
999-AXC000004-E,"Opto-Coupler 5kV Isolation, 35V 0.05A, DIP4",,1,2,2,,,,,,,,,,,,,,2,2,,2,,,,,,,,2,,,,2,1,,,,2,7,,,
999-AXC000006-E,MOSFET 50V 0.22A 3.5 Ohms SOT23 N-Channel Logic Level,,,,,,,,,,,,,3,,,3,,,,,,,,3,,,,,,,,3,,,,,,,,,,
999-AXC000009-E,MOSFET 12V 0.75A 0.5 Ohm SOT23 P-Channel Logic Gate,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AXC000011-E,MOSFET 30V 63A 0.008 Ohm DPAK N-Channel Logic Gate,1,,,,2,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,
999-AXC000013-E,Transistor NPN Small Signal SOT23 General Purpose 30V,,9,,2,,,8,1,,,,2,,,2,,8,2,3,,,,,,2,1,8,,2,,2,,3,9,,,,,5,,,
999-AXC000017-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
999-AXC000018-E,Opto-Coupler 2.5KV 80-600%Phototransistor 1SMD Half-Pitch High Noise Resistance,,3,,,,,,,,,2,7,,,7,,,,,,,2,2,,7,,,,,2,7,,,3,,,,,,,,
999-AXC000020-E,MOSFET30 V 27 A 4.4 MilliOhms Rds 3.6 W Power SMDDIRECTFET N-channel 75 nC Logic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
999-AXC000023-E,MOSFET12 V 15 A 8 MilliOhms Rds 2.5 W Power SMDSO-8 N-channel 40 nC,,,,,2,,,,,,,1,,,1,,,,,4,,,,,1,5,,,,,1,,,,4,,,,2,2,,
999-AXC000035-E,Transistor PNP 60V 1A SMD SOT23,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
999-AXC000039-E,Transistor 140 V 0.6 A SMD SOT23,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AXC000043-E,MOSFET 200V 3.6A SMD DPAK P-Channel,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,
999-AXC000044-E,MOSFET 30V 13.6A 12.5MilliOhms Rds SMD SO08 N-channel,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
999-AXC000045-E,Transistor 40V 600mA SMD SOT23,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
999-AXC000046-E,MOSFET 30V 0.76A 0.6Ohm SOT23 P-Channel,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AXC000048-E,MOSFET30V 1.2A 0.25Ohms Rds 0.54W Power SMDSOT23 N-channel 5nCLogic,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,
999-AXC000049-E,"MOSFET, N-Channel, Id(max)=2.7A, Vds(max)=30V, Vgs=+/-20V, Rds(on)=0.046 @ VGS=10V",,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,
999-AXC000058-E,Opto-Coupler 3.75KV 80-600%Phototransistor SMD,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
999-AXC000060-E,MOSFET 150V 21A 16MilliOhms Rds 18W Power TO-220 N-channel 110nC,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
999-AXC000061-E,"MOSFET N-Channel 75V 150A 3.3MilliOhms Rds 370W Power 220nC, TO-220.",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
999-AXC000064-E,Transistor 100V 3A SMD DPAK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
999-AXC000069-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
999-AXC000071-E,Transistor NPN 40V 200mA TO-92 package,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
999-AXC000079-E,MOSFET 30V 60A 9 MilliOhms Rds 24nC D2PAK N-Channel,,,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,2,,,,2,,,,,,,,,
999-AXC000080-E,MOSFET 100V 80A 15milliOhms Rds 300W D2PAK N-Channel 182nC,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
999-AXC000084-E,MOSFET 200V 9.5A 0.16 Ohms Rds 24nC D2PAK N-channel,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
999-AXC000085-E,MOSFET 800V 4.3A 2.4 Ohms Rds 45nC TH TO220 N-Channel,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,
999-AXC000089-E,"MOSFET, N-Channel, 200V, 98A,23mohms, Single, SuperTO-220,160nC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AXC000094-E,MOSFET 100V 21A 38 MilliOhms Rds 100 W Power SMD DPAK N-channel 55 nC Standard,,,,,,,,1,,,2,1,,1,1,,,,,,,2,2,,1,,,,,2,1,,,,,,,,,,1,
999-AXC000104-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
999-AXC000106-E,OptiMOS3 Power-Transistor N-Channel 100V 100A 0.003Ohms PG-TO220-3,,,,,,,,,,,,,10,,,10,,,,,,,,10,,,,,,,,10,,,,,2,,,,,
999-AXC000113-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
999-AXC000126-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
999-AXC000127-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
999-AXC000128-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
999-AXC800003-E,MOSFET 100V 55A 0.026 OHM TH TO220,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
999-AXC800004-E,TRANSISTOR NPN 30V 0.5A GENERAL PURPOSE TH TO92,,,,,,,,,,,6,8,,,8,,,,,,,6,6,,8,,,,,6,8,,,,,,,,,,,
999-AXCOP0096-E,Opto-Coupler 2.5KV 80-600%Phototransistor 1SMD Half-Pitch High Noise Resistance,,,,,,,,3,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,4,,,,,
999-AXCT00084-E,Transistor NPN Power 250V 60A TO247,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-AXCT00086-E,Transistor NPN General purpose 40V(max)   200mA (max)  SOT23  package,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000005-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
999-AYC000006-E,Resistor 4.75KiloOhms 1%  100V Breakdown Voltage  SMD RC0603 Precision Thick Film Chip 63mW,,3,,,,1,,,,,,1,,1,1,,,,,,,,,,1,7,,1,,,1,,,3,,,,,,,1,
999-AYC000007-E,"Resistor,3K,1/10W,1%,0603",,1,,,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,,,4,,,,,
999-AYC000009-E,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,
999-AYC000010-E,"Resistor,499E,1/10W,1%,0603",,,,,,,,,,2,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
999-AYC000011-E,Resistor 499 KiloOhms 1% SMD RC0603  Thick Film 0.063 W,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
999-AYC000012-E,Resistor 49.9 KiloOhms 1% SMD RC0603  Thick Film 0.063 W,,1,,2,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,1,,,,,,,,
999-AYC000014-E,Resistor 3.3 Ohms 1% SMD RC1206  Thick film 0.33 W,,,,,,,,,,,,1,3,,1,3,,,3,,,,,3,1,,,,,,1,3,3,,,,3,,,,,
999-AYC000015-E,Resistor 0.003 Ohms 5% 3 W  SMD LR1225  SMT chip resistor,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AYC000019-E,"Resistor,8.2K,1/16W,5%,0603",,,,,1,1,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,1,1,,
999-AYC000023-E,Resistor 2.7 Ohms 1% 0.1 W  SMD RC0603  Thick Film,,2,,,,3,,,,1,,,,,,,,,,1,,,,,,5,,3,,,,,,2,1,,,,,,,
999-AYC000024-E,Resistor 1.8 Ohms 1% 0.2 W  SMD RC0603  Thick Film,,,,2,,,,,,,,,1,,,1,,2,,,,,,1,,,,,2,,,1,,,,,,,,,,
999-AYC000028-E,Resistor 3.16 KiloOhms 1% 0.063 W  SMD RC0603  RESISTOR,,,,,,,,1,2,,1,2,,2,2,,,,,,,1,1,,2,4,,,,1,2,,,,,,,,,,2,2
999-AYC000035-E,"Resistor,10K,1W,5%,2512",,10,,,,,,,,,2,,,,,,,,1,,,2,2,,,,,,,2,,,1,10,,,3,,,,,
999-AYC000036-E,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
999-AYC000037-E,"Resistor,49.9E,1/10W,1%,0603",,,,,2,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,20,,,,,2,,
999-AYC000038-E,Resistor 0.27 Ohms 1% 0.1 W  SMD RC0603  0603,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
999-AYC000039-E,Resistor 249 Ohms 1% 0.125 W  SMD 0603  Precision Thick Film Chip,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
999-AYC000042-E,Resistor 270 Ohms 5% 1 W  SMD 2512  Chip,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
999-AYC000044-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000046-E,Resistor 150 KiloOhms 1% 0.125 W  SMD 0603  Precision Thick Film Chip,1,,,,,,,1,,,,,4,,,4,,,,,,,,4,,,,,,,,4,,,,,2,,,,,
999-AYC000050-E,Resistor 0 Ohms 1% 0.063 W 0402 SMD,,,,,2,,1,,,8,,,,,,,1,,,,,,,,,14,1,,,,,,,,,,,,,2,,
999-AYC000051-E,Resistor 1.3 KiloOhms 1% 1/16 W  SMD 0603  Precision Thick Film Chip,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
999-AYC000052-E,Resistor 1.4 KiloOhms 1% 1/16 W  SMD 0603  Precision Thick Film Chip,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
999-AYC000053-E,Resistor 280 KiloOhms 1% 1/16 W  SMD RC0603  RC22,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,
999-AYC000054-E,"Resistor,2.2E,5%, 1/4W,1206",,2,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,,2,,2,,2,,,,,,
999-AYC000061-E,"Resistor,10K,1/8W,1%,0805",,4,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
999-AYC000062-E,Resistor 38.3 KiloOhms +/- 1% 125 mW  SMD 0805  Precision Thick Film chip,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AYC000063-E,Resistor 19.1 KiloOhms +/- 1% 125 mW  SMD 0805  Presion Thick Film chip,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
999-AYC000064-E,Resistor 68 Ohms +/- 5% 1 W  SMD 2512  Thick Film chip,,2,,1,,,,,,,,,3,,,3,,1,2,,,,,3,,,,,1,,,3,2,2,,,,,,,,
999-AYC000067-E,Resistor 1.1 Ohms +/- 5% 0.25 e  SMD 1206  Thick Film chip,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,
999-AYC000068-E,Resistor 10 Ohms 5% 1 W  SMD 2512  Thick Film Chip,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,
999-AYC000069-E,Resistor 619 KiloOhms 1% 0.25 W  SMD RC1206  Chip,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,
999-AYC000070-E,"Resistor,240E,1/4W,1%,1206",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,
999-AYC000071-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
999-AYC000073-E,Resistor 1.3 KiloOhms 1% 0.063 W  SMD RC0603  Thick Film,,,,,,,,,1,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1
999-AYC000074-E,Resistor 665 Ohms 1% 0.063 W  SMD RC0603  Thick Film,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
999-AYC000090-E,"Resistor, 1.24K, +/-1%, 0603, 1/10W",,,,,,1,3,1,1,1,,,,,,,3,,,1,,,,,,1,3,1,,,,,,,1,,,,,,,1
999-AYC000096-E,"Resistor,604E,1/8W,1%,1206",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AYC000098-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
999-AYC000107-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000108-E,"Resistor,16.5K,1/10W,1%,0603",,,,2,,1,,,,,,,1,,,1,,2,,,,,,1,,,,1,2,,,1,,,,,3,,,,,
999-AYC000111-E,"Resistor,15K,1/10W,1%,0603",,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,1,,,,,,,
999-AYC000112-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000113-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000114-E,"Resistor,2.67K,1/10W,1%,0603",,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
999-AYC000115-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000116-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000117-E,"Resistor,36K,1/10W,1%,0603",1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
999-AYC000120-E,"Resistor,0E,1/10W,5%,0603",,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,3,1,,
999-AYC000122-E,"Resistor,7.5E,1/10W,5%,0603",,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
999-AYC000123-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000124-E,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,8,,,
999-AYC000126-E,"Resistor,220E,1/10W,5%,0603",,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,
999-AYC000127-E,"Resistor,100E,1/10W,5%,0603",,,,,5,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,1,,,,1,5,,
999-AYC000128-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
999-AYC000130-E,"Resistor,15E,1/10W,5%,0603",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AYC000132-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000133-E,"Resistor,470E,1/10W,5%,0603",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,
999-AYC000135-E,"Resistor,390E,1/10W,5%,0603",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000136-E,"Resistor,22E,1/10W,5%,0603",,,,,1,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,14,,,,1,1,,
999-AYC000138-E,"Resistor,1K,1/10W,5%,0603",,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,5,,
999-AYC000139-E,"Resistor,4.7K,1/10W,5%,0603",,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,8,3,,
999-AYC000140-E,"Resistor,10K,1/10W,5%,0603",,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
999-AYC000141-E,"Resistor,2K,1/10W,5%,0603",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
999-AYC000142-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000144-E,"Resistor,1.5K,1/10W,5%,0603",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,
999-AYC000146-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
999-AYC000147-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000148-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
999-AYC000149-E,"Resistor,24K,1/10W,5%,0603",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,
999-AYC000152-E,"Resistor,22K,1/10W,5%,0603",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
999-AYC000155-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000158-E,"Resistor,270K,1/10W,5%,0603",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
999-AYC000160-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
999-AYC000161-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
999-AYC000163-E,"Resistor,31.6E,1/10W,1%,0603",,,,,,,,,,,1,2,,1,2,,,,,,,1,1,,2,2,,,,1,2,,,,,,,,,,1,
999-AYC000173-E,"Resistor, 56.2K, 1%, 1/4W, 1206",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,
999-AYC000175-E,"Resistor, 26.1K, 1%, 1/4W, 1206",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
999-AYC000182-E,Resistor 243K 1% RC1206,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,
999-AYC000184-E,"Resistor,300E,1/10W,1%,0603",,,,,,,,1,1,6,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1
999-AYC000188-E,Resistor 390K 1% 1206 Chip,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6,,,,,,,,,
999-AYC000194-E,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
999-AYC000195-E,"Resistor,12K,1/10W,1%,0603",,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,1,,,,,
999-AYC000199-E,Resistor 25.5 kOhms 0.25% SMD RC1206 Thin film 0.125 W,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,
999-AYC000200-E,"Resistor,0E,1/16W,5%,0402",,,,,,,82,,,44,,,,,,,82,,,,,,,,,3,82,,,,,,,,,,,,,,,
999-AYC000201-E,"2 Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,3,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,
999-AYC000202-E,"Resistor,10E,1/16W,1%,0402",,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,
999-AYC000203-E,"22 Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,12,,,2,,,,,,,12,,,,,,,,,,12,,,,,,,,,,,,,,,
999-AYC000204-E,"33 Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,8,103,,,11,,,,,,,103,,,,,,,,,37,103,8,,,,,,,,,,,,,,
999-AYC000205-E,"49.9 Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,133,,,182,,,,,,,133,,,,,,,,,83,133,,,,,,,,,,,,,,,
999-AYC000206-E,"82.5 Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,2,,,,,,,,,,2,,,,,,,,,6,2,,,,,,,,,,,,,,,
999-AYC000207-E,"Resistor,100E,1/16W,1%,0402",,,,,,,52,,,2,,,,2,,,52,,,,,,,,,16,52,,,,,,,,,,,,,,2,
999-AYC000208-E,"Resistor,120E,1/16W,1%,0402",,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,
999-AYC000209-E,"Resistor,130E,1/16W,1%,0402",,,,,,,6,,,,,,,,,,6,,,,,,,,,6,6,,,,,,,,,,,,,,,
999-AYC000210-E,"Resistor,150E,1/16W,1%,0402",,,,,,,27,,,19,,,,,,,27,,,,,,,,,28,27,,,,,,,,,,,,,,,
999-AYC000211-E,"Resistor,180E,1/16W,1%,0402",,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,
999-AYC000212-E,"Resistor,249E,1/16W,1%,0402",,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,
999-AYC000213-E,"300 Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,
999-AYC000214-E,"Resistor,1K,1/16W,1%,0402",,,,,,,58,,,17,,,,,,,58,,,,,,,,,19,58,,,,,,,,,,,,,,,
999-AYC000215-E,"Resistor,2.2K,1/16W,1%,0402",,,,,,,15,,,,,,,,,,15,,,,,,,,,,15,,,,,,,,,,,,,,,
999-AYC000216-E,"4.7K Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,170,,,28,,,,,,,170,,,,,,,,,118,170,,,,,,,,,,,,,,,
999-AYC000217-E,"Resistor,10K,1/16W,1%,0402",,,,,,,8,,,16,,,,4,,,8,,,,,,,,,7,8,,,,,,,,,,,,,,4,
999-AYC000218-E,"22K Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,14,,,,,,,,,,14,,,,,,,,,,14,,,,,,,,,,,,,,,
999-AYC000219-E,"3.09K Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,3,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,
999-AYC000220-E,"4.99K Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AYC000221-E,"8.87K Ohms, +/- 1% Tolerance, 1/16 W, SMD 0402",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AYC000222-E,"Resistor,13K,1/16W,1%,0402",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AYC000223-E,"Resistor,22.1K,1/16W,1%,0402",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AYC000224-E,"Resistor,357E,1/16W,1%,0402",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AYC000225-E,"1K Ohms, +/- 1% Tolerance, 1/4 W, SMD 1206",,,,,,,15,,,,,,2,,,2,15,,,,,,,2,,,15,,,,,2,,,,,,,,,,
999-AYC000229-E,"Resistor,1.5K,1/16W,1%,0402",,,,,,,1,,,2,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AYC000230-E,"Resistor,2K,1/16W,1%,0402",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AYC000233-E,"Resistor,47K5,1/10W,+/-1%,0603",,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
999-AYC000234-E,"Resistor,75K,1/10W,+/-1%,0603",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000251-E,"Resistor,2E,1/10W,+/-1%,0603",,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
999-AYC000254-E,"Resistor,154K,1/10W,+/-1%,0603",,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,,,
999-AYC000258-E,"Resistor,20K,1/10W,+/-1%,0603",,,,,,3,,,,,1,,,,,,,,,,,1,1,,,,,3,,1,,,,,,,,,,,,
999-AYC000262-E,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
999-AYC000263-E,Resistor RC0603 37.4K  +/- 1% tolerance 1/10W SMD,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000266-E,Resistor 2 KiloOhms 1% 1/10 W SMD RC0603 Chip Resistor,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AYC000267-E,Resistor 4.02 KiloOhms 1% 125 mW SMD 0805 Thick Film chip,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
